train,stations
train_1,"""[['L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'H, e, e, m, s, t, e, d, e, -, A, e, r, d, e, n, h, o, u, t', 'H, a, a, r, l, e, m', 'H, e, e, m, s, t, e, d, e, -, A, e, r, d, e, n, h, o, u, t', 'H, a, a, r, l, e, m', 'H, e, e, m, s, t, e, d, e, -, A, e, r, d, e, n, h, o, u, t', 'H, a, a, r, l, e, m', 'A, m, s, t, e, r, d, a, m,  , S, l, o, t, e, r, d, i, j, k', 'A, m, s, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'A, m, s, t, e, r, d, a, m,  , S, l, o, t, e, r, d, i, j, k', 'A, m, s, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'A, m, s, t, e, r, d, a, m,  , A, m, s, t, e, l', 'A, m, s, t, e, r, d, a, m,  , Z, u, i, d', 'S, c, h, i, p, h, o, l,  , A, i, r, p, o, r, t', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l']]"""
train_2,"""[['A, l, k, m, a, a, r', 'D, e, n,  , H, e, l, d, e, r', 'A, l, k, m, a, a, r', 'H, o, o, r, n', 'A, l, k, m, a, a, r', 'C, a, s, t, r, i, c, u, m', 'Z, a, a, n, d, a, m']]"""
train_3,"""[['D, e, l, f, t', 'D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'A, l, p, h, e, n,  , a, /, d,  , R, i, j, n', 'G, o, u, d, a', 'D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'S, c, h, i, p, h, o, l,  , A, i, r, p, o, r, t', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'H, e, e, m, s, t, e, d, e, -, A, e, r, d, e, n, h, o, u, t']]"""
train_4,"""[['D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l', 'D, e, l, f, t', 'D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l', 'G, o, u, d, a', 'A, l, p, h, e, n,  , a, /, d,  , R, i, j, n', 'G, o, u, d, a']]"""
train_5,"""[['L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'H, e, e, m, s, t, e, d, e, -, A, e, r, d, e, n, h, o, u, t', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'A, l, p, h, e, n,  , a, /, d,  , R, i, j, n', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'S, c, h, i, p, h, o, l,  , A, i, r, p, o, r, t', 'A, m, s, t, e, r, d, a, m,  , Z, u, i, d', 'A, m, s, t, e, r, d, a, m,  , A, m, s, t, e, l', 'A, m, s, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'A, m, s, t, e, r, d, a, m,  , A, m, s, t, e, l', 'A, m, s, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'A, m, s, t, e, r, d, a, m,  , S, l, o, t, e, r, d, i, j, k', 'A, m, s, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'A, m, s, t, e, r, d, a, m,  , S, l, o, t, e, r, d, i, j, k']]"""
train_6,"""[['S, c, h, i, e, d, a, m,  , C, e, n, t, r, u, m', 'D, e, l, f, t', 'D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l', 'G, o, u, d, a', 'A, l, p, h, e, n,  , a, /, d,  , R, i, j, n', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'S, c, h, i, p, h, o, l,  , A, i, r, p, o, r, t', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l']]"""
train_7,"""[['D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l', 'G, o, u, d, a', 'R, o, t, t, e, r, d, a, m,  , A, l, e, x, a, n, d, e, r', 'R, o, t, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'S, c, h, i, e, d, a, m,  , C, e, n, t, r, u, m', 'D, e, l, f, t', 'S, c, h, i, e, d, a, m,  , C, e, n, t, r, u, m', 'D, e, l, f, t', 'S, c, h, i, e, d, a, m,  , C, e, n, t, r, u, m', 'R, o, t, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'D, o, r, d, r, e, c, h, t', 'R, o, t, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'D, o, r, d, r, e, c, h, t']]"""
train_8,"""[['S, c, h, i, e, d, a, m,  , C, e, n, t, r, u, m', 'D, e, l, f, t', 'S, c, h, i, e, d, a, m,  , C, e, n, t, r, u, m', 'R, o, t, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'S, c, h, i, e, d, a, m,  , C, e, n, t, r, u, m', 'R, o, t, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'R, o, t, t, e, r, d, a, m,  , A, l, e, x, a, n, d, e, r', 'R, o, t, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'D, o, r, d, r, e, c, h, t', 'R, o, t, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'D, o, r, d, r, e, c, h, t', 'R, o, t, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l']]"""
train_9,"""[['A, m, s, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'A, m, s, t, e, r, d, a, m,  , S, l, o, t, e, r, d, i, j, k', 'A, m, s, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'A, m, s, t, e, r, d, a, m,  , S, l, o, t, e, r, d, i, j, k', 'Z, a, a, n, d, a, m', 'B, e, v, e, r, w, i, j, k', 'H, a, a, r, l, e, m', 'H, e, e, m, s, t, e, d, e, -, A, e, r, d, e, n, h, o, u, t', 'H, a, a, r, l, e, m', 'B, e, v, e, r, w, i, j, k', 'H, a, a, r, l, e, m', 'H, e, e, m, s, t, e, d, e, -, A, e, r, d, e, n, h, o, u, t']]"""
train_10,"""[['D, e, n,  , H, a, a, g,  , C, e, n, t, r, a, a, l', 'L, e, i, d, e, n,  , C, e, n, t, r, a, a, l', 'H, e, e, m, s, t, e, d, e, -, A, e, r, d, e, n, h, o, u, t', 'H, a, a, r, l, e, m', 'B, e, v, e, r, w, i, j, k', 'Z, a, a, n, d, a, m', 'B, e, v, e, r, w, i, j, k', 'C, a, s, t, r, i, c, u, m', 'B, e, v, e, r, w, i, j, k']]"""
train_11,"""[['A, l, k, m, a, a, r', 'H, o, o, r, n', 'A, l, k, m, a, a, r', 'D, e, n,  , H, e, l, d, e, r', 'A, l, k, m, a, a, r']]"""
train_12,"""[['A, l, k, m, a, a, r', 'D, e, n,  , H, e, l, d, e, r', 'A, l, k, m, a, a, r', 'H, o, o, r, n', 'Z, a, a, n, d, a, m', 'C, a, s, t, r, i, c, u, m', 'A, l, k, m, a, a, r']]"""
train_13,"""[['A, m, s, t, e, r, d, a, m,  , Z, u, i, d', 'S, c, h, i, p, h, o, l,  , A, i, r, p, o, r, t', 'A, m, s, t, e, r, d, a, m,  , Z, u, i, d', 'A, m, s, t, e, r, d, a, m,  , A, m, s, t, e, l', 'A, m, s, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'A, m, s, t, e, r, d, a, m,  , A, m, s, t, e, l', 'A, m, s, t, e, r, d, a, m,  , Z, u, i, d', 'A, m, s, t, e, r, d, a, m,  , A, m, s, t, e, l', 'A, m, s, t, e, r, d, a, m,  , C, e, n, t, r, a, a, l', 'A, m, s, t, e, r, d, a, m,  , A, m, s, t, e, l', 'A, m, s, t, e, r, d, a, m,  , Z, u, i, d', 'A, m, s, t, e, r, d, a, m,  , A, m, s, t, e, l', 'A, m, s, t, e, r, d, a, m,  , Z, u, i, d', 'A, m, s, t, e, r, d, a, m,  , S, l, o, t, e, r, d, i, j, k']]"""
score,7076.0
